company_name,industry,region,revenue_estimate,contact_email,contact_phone
Techify Labs,SaaS,US,7500000,ceo@techify.com,9876543210
FinPro,Finance,EU,4200000,contact@finpro.eu,5551010101
GrowthHub,SaaS,US,12500000,sales@growthhub.io,5552223333
DataForge,Tech,US,6000000,hello@dataforge.ai,5554445555
MediLink,Healthcare,US,3000000,info@medilink.com,5556667777
AgriCore,Agriculture,EU,1500000,,5551239876
EduNext,EdTech,APAC,2000000,team@edunext.co,5558889999
RetailX,Retail,US,8000000,ops@retailx.com,5550001111
CloudZen,Tech,EU,9500000,contact@cloudzen.eu,5552221111
Insurely,Insurance,US,5200000,hello@insurely.com,5554443333
LogistiCo,Logistics,US,4800000,partners@logistico.com,5559990000
GreenVolt,Energy,EU,7000000,hi@greenvolt.energy,5551212121
Foodio,Food,US,2200000,,5553434343
CyberFort,Security,US,5400000,ceo@cyberfort.io,5556565656
TravelMate,Travel,APAC,3100000,sales@travelmate.asia,5557878787
FinTechPro,FinTech,US,85000000,ceo@fintechpro.com,5551112222
CloudScale,Software,Canada,45000000,contact@cloudscale.ca,5553334444
MediTech,MedTech,UK,32000000,info@meditech.co.uk,5555556666
EduPlatform,EdTech,US,18000000,team@eduplatform.com,5557778888
RetailAI,Retail,US,12000000,ai@retailai.com,5559990000
LogiFlow,Logistics,EU,8500000,flow@logiflow.eu,5550001111
EnergyCore,Energy,US,65000000,core@energycore.com,5552223333
FoodTech,Food,US,15000000,tech@foodtech.com,5554445555
SecureNet,Security,Canada,25000000,secure@securenet.ca,5556667777
TravelTech,Travel,APAC,9500000,tech@traveltech.asia,5558889999
BioInnovate,Biotech,US,75000000,innovate@bioinnovate.com,5551112222
CleanEnergy,Cleantech,EU,45000000,clean@cleanenergy.eu,5553334444
ManufacturePro,Manufacturing,US,35000000,pro@manufacturepro.com,5555556666

